time,pos_error,Position [cnt],Actual Velocity 0x606C,Velocity [cnt/sec],Active Current [A],current_command,index,
0.197,12,23839545,-1965810,-1964986.11450195,-0.356563322695592,-0.357644390119333,197,
0.198,1,23837577,-1967139,-1968108.36791992,-0.369903388393311,-0.379440969747634,198,
0.199,3,23835586,-1988181,-1990984.19189453,-0.376691984816489,-0.377651513573994,199,
0.2,21,23833569,-2016431,-2018211.97509766,-0.345873799834351,-0.346584547532871,200,
0.201,33,23831549,-2021654,-2020293.42651367,-0.329834005461009,-0.329669759262288,201,
0.202,36,23829527,-2019268,-2020109.1003418,-0.343589879863316,-0.344166695613296,202,
0.203,42,23827492,-2033599,-2034913.63525391,-0.338181197966719,-0.342500503307122,203,
0.204,48,23825447,-2044685,-2044754.48608398,-0.331292927162281,-0.331962692529544,204,
0.205,40,23823406,-2042647,-2041356.81152344,-0.330460253507454,-0.338014487194812,205,
0.206,13,23821375,-2030764,-2030887.45117188,-0.376644559386762,-0.374630193305848,206,
0.207,-10,23819329,-2042205,-2045066.52832031,-0.393403621840207,-0.400192253471573,207,
0.208,-16,23817256,-2070785,-2072906.34155273,-0.386584183044022,-0.386841273235461,208,
0.209,-20,23815171,-2086864,-2086825.56152344,-0.363821842808875,-0.371049978255598,209,
0.21,-37,23813090,-2081027,-2080768.43261719,-0.389170083646661,-0.391139453662845,210,
0.211,-46,23810990,-2095846,-2098843.53637695,-0.409064716939497,-0.408673061052127,211,
0.212,-37,23808862,-2125815,-2128782.34863281,-0.394260800394136,-0.387279579972414,212,
0.213,-37,23806733,-2131795,-2129996.94824219,-0.372205827871426,-0.3751371912183,213,
0.214,-51,23804608,-2123823,-2124382.78198242,-0.407745466121469,-0.404439945356842,214,
0.215,-46,23802455,-2148233,-2152446.44165039,-0.406374529682921,-0.408710557772736,215,
0.216,-31,23800281,-2174953,-2175170.74584961,-0.38149276213278,-0.377367559534832,216,
0.217,-30,23798111,-2170902,-2169604.4921875,-0.3736608062556,-0.37699963396642,217,
0.218,-49,23795951,-2161713,-2160443.26782227,-0.413472430040883,-0.411642308409682,218,
0.219,-73,23793787,-2164005,-2164564.36157227,-0.439496984968969,-0.443103887825998,219,
0.22,-107,23791622,-2164062,-2163881.53076172,-0.46599445628317,-0.472721297543956,220,
0.221,-132,23789438,-2178853,-2183251.03759766,-0.487036770892132,-0.495441810451325,221,
0.222,-123,23787210,-2223300,-2227595.36743164,-0.477854475366598,-0.470843433609332,222,
0.223,-88,23784946,-2262362,-2265042.2668457,-0.42119830364652,-0.417017155237261,223,
0.224,-48,23782668,-2277589,-2277138.36669922,-0.385925684297035,-0.381979057630474,224,
0.225,-17,23780388,-2277976,-2279052.58178711,-0.373922262262397,-0.377194757746338,225,
0.226,19,23778093,-2292126,-2295076.90429688,-0.365881521828214,-0.364192796281486,226,
0.227,57,23775786,-2306957,-2308487.54882813,-0.330014341801814,-0.334664111198208,227,
0.228,73,23773491,-2296895,-2295619.20166016,-0.33129961671807,-0.33037378219683,228,
0.229,62,23771214,-2276970,-2276497.80273438,-0.362974452131311,-0.367400121408764,229,
0.23,40,23768937,-2275712,-2276849.51782227,-0.405068798809225,-0.401526749435163,230,
0.231,16,23766652,-2285195,-2285783.38623047,-0.409275719612367,-0.413388493719822,231,
0.232,-19,23764368,-2284273,-2283795.31860352,-0.433652214451286,-0.436591640473296,232,
0.233,-60,23762081,-2286668,-2287062.98828125,-0.467550799041646,-0.470416499117221,233,
0.234,-94,23759776,-2301080,-2304230.04150391,-0.495467054722383,-0.495366500136413,234,
0.235,-100,23757433,-2340168,-2343836.36474609,-0.482345279792526,-0.480490336388527,235,
0.236,-81,23755055,-2374907,-2378367.30957031,-0.44523542675779,-0.441735873667085,236,
0.237,-52,23752657,-2396691,-2398456.57348633,-0.404618169206344,-0.409191853707682,237,
0.238,-11,23750238,-2418202,-2419442.44384766,-0.374816374205921,-0.380780218816653,238,
0.239,31,23747807,-2430093,-2430865.63110352,-0.35317481623099,-0.353148445297904,239,
0.24,69,23745370,-2438073,-2438314.20898438,-0.325868471997296,-0.331350774215764,240,
0.241,86,23742944,-2428283,-2426489.56298828,-0.332669039204518,-0.332446629078618,241,
0.242,81,23740530,-2414437,-2413096.46606445,-0.352974059140934,-0.358049389910093,242,
0.243,66,23738117,-2410763,-2411826.78222656,-0.38624058633377,-0.386522956004455,243,
0.244,60,23735684,-2430485,-2431859.89379883,-0.382201362131809,-0.385383196530711,244,
0.245,58,23733237,-2446828,-2447905.88378906,-0.364787744248474,-0.370768981704259,245,
0.246,54,23730782,-2454783,-2454633.63647461,-0.365340618430366,-0.367296714959537,246,
0.247,42,23728326,-2455666,-2456315.00244141,-0.38220974168064,-0.381222891368964,247,
0.248,36,23725853,-2470665,-2472904.05273438,-0.382278925770777,-0.386043561311681,248,
0.249,31,23723369,-2484282,-2484894.10400391,-0.375163069236748,-0.378850387596003,249,
0.25,26,23720875,-2493638,-2494277.34375,-0.37155183577255,-0.379173528348815,250,
0.251,24,23718368,-2505503,-2507764.58740234,-0.370231352667929,-0.380174109853954,251,
0.252,29,23715845,-2521842,-2523376.15966797,-0.370310007760736,-0.370638394533614,252,
0.253,36,23713309,-2535093,-2535608.21533203,-0.357401594452369,-0.358334646652224,253,
0.254,44,23710762,-2544778,-2545998.99291992,-0.354060689458436,-0.35381514755278,254,
0.255,48,23708209,-2554382,-2554326.47705078,-0.351139078779738,-0.347650193770107,255,
0.256,39,23705659,-2550100,-2549946.59423828,-0.3513349771398,-0.360912554996105,256,
0.257,29,23703101,-2555592,-2558149.10888672,-0.378013277709442,-0.37846440022696,257,
0.258,30,23700521,-2578356,-2579748.84033203,-0.366641772239575,-0.368039537317657,258,
0.259,28,23697934,-2588113,-2587810.66894531,-0.352823896217558,-0.358224198565324,259,
0.26,12,23695351,-2583989,-2583169.25048828,-0.374537912644143,-0.374523688536044,260,
0.261,-7,23692762,-2587297,-2588613.89160156,-0.394633619900731,-0.400366780461297,261,
0.262,-33,23690169,-2592953,-2592807.31201172,-0.413331104372787,-0.417383778102703,262,
0.263,-60,23687567,-2600246,-2601726.68457031,-0.430749017655103,-0.438113620039928,263,
0.264,-64,23684932,-2630558,-2634422.60742188,-0.434255718008046,-0.433394913010716,264,
0.265,-54,23682273,-2657787,-2659395.14160156,-0.412525752272131,-0.402676331993462,265,
0.266,-43,23679604,-2667946,-2668700.25634766,-0.394699705670291,-0.393742042946769,266,
0.267,-28,23676920,-2684370,-2684877.9296875,-0.38622615097654,-0.386179746584276,267,
0.268,-18,23674231,-2690073,-2689390.25878906,-0.375760024070473,-0.380618578023871,268,
0.269,-22,23671546,-2685135,-2685183.41064453,-0.387692184731861,-0.395673916242345,269,
0.27,-31,23668857,-2688703,-2689430.84716797,-0.419659564982226,-0.415785784057391,270,
0.271,-56,23666173,-2686893,-2685546.26464844,-0.429464517318991,-0.436012254525565,271,
0.272,-108,23663506,-2667699,-2666407.47070313,-0.490357114304061,-0.491200808121846,272,
0.273,-171,23660840,-2664484,-2665576.78222656,-0.556056262748314,-0.555857301275864,273,
