POS: {v: 266.005, s: 12.1163, e: 70.0635, r: -4.87184, p: -4.38826}
VEL: {v: -24.5688, s: -8.94744, e: 9.07317, r: 1.81518, p: 9.41799}
POS: {v: 264.478, s: 11.5754, e: 70.6158, r: -4.75477, p: -3.81145}
VEL: {v: -29.6281, s: -10.7422, e: 10.6588, r: 2.23402, p: 11.0766}
POS: {v: 263.267, s: 11.1581, e: 71.0437, r: -4.66676, p: -3.38075}
VEL: {v: -28.1407, s: -10.1453, e: 10.4634, r: 2.33956, p: 10.7495}
POS: {v: 261.51, s: 10.5498, e: 71.6861, r: -4.5216, p: -2.71216}
VEL: {v: -30.2906, s: -10.0821, e: 11.0895, r: 2.55244, p: 11.4407}
POS: {v: 260.149, s: 10.0898, e: 72.1797, r: -4.41336, p: -2.22256}
VEL: {v: -29.7646, s: -9.64639, e: 10.7026, r: 2.31814, p: 10.4482}
POS: {v: 258.609, s: 9.57253, e: 72.7586, r: -4.27904, p: -1.55205}
VEL: {v: -31.2839, s: -10.4215, e: 11.3287, r: 2.47118, p: 11.6591}
POS: {v: 257.253, s: 9.12343, e: 73.2403, r: -4.16785, p: -1.1466}
VEL: {v: -30.6221, s: -10.1049, e: 10.663, r: 2.52424, p: 10.9306}
POS: {v: 255.667, s: 8.6073, e: 73.7888, r: -4.03542, p: -0.564386}
VEL: {v: -32.151, s: -10.4687, e: 11.266, r: 2.73264, p: 12.2866}
POS: {v: 253.928, s: 8.04351, e: 74.3932, r: -3.89078, p: 0.0754403}
VEL: {v: -31.7044, s: -10.2596, e: 11.0192, r: 2.52135, p: 11.794}
POS: {v: 252.499, s: 7.61069, e: 74.8661, r: -3.76968, p: 0.58168}
VEL: {v: -30.9937, s: -10.0914, e: 10.5502, r: 2.7038, p: 11.69}
POS: {v: 250.956, s: 7.12906, e: 75.3843, r: -3.64888, p: 1.12385}
VEL: {v: -30.9506, s: -9.70128, e: 10.467, r: 2.6746, p: 11.0395}
POS: {v: 249.432, s: 6.66285, e: 75.9027, r: -3.51595, p: 1.66913}
VEL: {v: -33.0954, s: -10.3208, e: 10.7025, r: 2.64982, p: 11.7053}
POS: {v: 247.656, s: 6.09346, e: 76.5079, r: -3.3634, p: 2.32609}
VEL: {v: -31.6669, s: -9.28056, e: 10.0479, r: 2.68174, p: 11.0287}
POS: {v: 246.351, s: 5.73039, e: 76.8919, r: -3.26279, p: 2.74046}
VEL: {v: -28.9798, s: -8.43958, e: 9.34236, r: 2.44617, p: 10.0947}
POS: {v: 243.218, s: 4.82051, e: 77.8817, r: -2.99583, p: 3.82919}
VEL: {v: -30.5273, s: -9.34807, e: 9.8202, r: 2.86204, p: 11.3884}
POS: {v: 243.218, s: 4.82051, e: 77.8817, r: -2.99583, p: 3.82919}
VEL: {v: -30.5273, s: -9.34807, e: 9.8202, r: 2.86204, p: 11.3884}
POS: {v: 241.109, s: 4.19627, e: 78.5263, r: -2.82246, p: 4.57637}
VEL: {v: -33.5666, s: -9.88862, e: 10.001, r: 2.73652, p: 11.9101}
POS: {v: 239.953, s: 3.872, e: 78.8612, r: -2.73168, p: 4.96534}
VEL: {v: -31.7433, s: -9.20973, e: 9.78412, r: 2.69221, p: 11.2379}
POS: {v: 238.141, s: 3.35339, e: 79.4039, r: -2.58126, p: 5.60396}
VEL: {v: -33.8931, s: -9.86977, e: 10.1656, r: 2.76654, p: 12.0948}
POS: {v: 236.491, s: 2.89045, e: 79.8695, r: -2.45071, p: 6.14397}
VEL: {v: -31.4648, s: -9.14588, e: 9.35776, r: 2.64512, p: 11.3483}
POS: {v: 234.75, s: 2.3928, e: 80.3784, r: -2.30598, p: 6.7507}
VEL: {v: -33.6141, s: -9.22352, e: 9.47005, r: 2.6319, p: 11.2222}
POS: {v: 233.185, s: 1.94297, e: 80.8409, r: -2.17133, p: 7.3009}
VEL: {v: -34.7092, s: -9.58389, e: 9.84951, r: 2.74016, p: 12.091}
POS: {v: 229.51, s: 0.920269, e: 81.8658, r: -1.86726, p: 8.56013}
VEL: {v: -34.5548, s: -9.49309, e: 9.50456, r: 2.9676, p: 11.8886}
POS: {v: 229.51, s: 0.920269, e: 81.8658, r: -1.86726, p: 8.56013}
VEL: {v: -34.5548, s: -9.49309, e: 9.50456, r: 2.9676, p: 11.8886}
POS: {v: 227.925, s: 0.476405, e: 82.3101, r: -1.73155, p: 9.11259}
VEL: {v: -35.3783, s: -9.79852, e: 9.72419, r: 2.92865, p: 12.2375}
POS: {v: 226.379, s: 0.0520503, e: 82.7352, r: -1.59582, p: 9.65288}
VEL: {v: -31.8033, s: -8.70883, e: 9.01374, r: 2.90589, p: 10.9521}
POS: {v: 224.788, s: -0.386799, e: 83.1807, r: -1.44904, p: 10.2242}
VEL: {v: -31.2014, s: -8.50598, e: 8.75508, r: 3.05185, p: 10.4928}
POS: {v: 223.228, s: -0.816793, e: 83.6182, r: -1.31276, p: 10.7423}
VEL: {v: -30.061, s: -8.70385, e: 8.76872, r: 2.7057, p: 11.2171}
POS: {v: 221.274, s: -1.36739, e: 84.1589, r: -1.13185, p: 11.4273}
VEL: {v: -32.2445, s: -8.74914, e: 8.58649, r: 2.80882, p: 10.4298}
POS: {v: 220.001, s: -1.71644, e: 84.5031, r: -1.01508, p: 11.8646}
VEL: {v: -27.8132, s: -8.05662, e: 7.96449, r: 2.73251, p: 10.2375}
POS: {v: 218.088, s: -2.25151, e: 85.0363, r: -0.826217, p: 12.5457}
VEL: {v: -27.7827, s: -7.80453, e: 7.87332, r: 2.82869, p: 10.2866}
POS: {v: 216.97, s: -2.58101, e: 85.3599, r: -0.709734, p: 12.9835}
VEL: {v: -28.3627, s: -8.32889, e: 8.10569, r: 2.9675, p: 10.6191}
POS: {v: 215.302, s: -3.06736, e: 85.835, r: -0.534791, p: 13.602}
VEL: {v: -25.9063, s: -7.83471, e: 7.69216, r: 2.5751, p: 9.88122}
POS: {v: 214.156, s: -3.39864, e: 86.1528, r: -0.416715, p: 14.0169}
VEL: {v: -22.929, s: -7.15239, e: 6.87084, r: 2.79688, p: 9.26938}
POS: {v: 213.015, s: -3.7428, e: 86.4936, r: -0.283535, p: 14.477}
VEL: {v: -23.6872, s: -7.19539, e: 6.94567, r: 2.45587, p: 9.1497}
POS: {v: 212.106, s: -4.01361, e: 86.7662, r: -0.178788, p: 14.8246}
VEL: {v: -20.7489, s: -6.52444, e: 6.37403, r: 2.4883, p: 8.38826}
POS: {v: 210.865, s: -4.39917, e: 87.1423, r: -0.0334141, p: 15.3177}
VEL: {v: -20.3729, s: -5.93561, e: 6.14603, r: 2.41776, p: 7.91041}
POS: {v: 209.953, s: -4.66987, e: 87.4138, r: 0.0779785, p: 15.6745}
VEL: {v: -19.5912, s: -5.34169, e: 5.46362, r: 2.15956, p: 6.95495}
POS: {v: 209, s: -4.95787, e: 87.7069, r: 0.19556, p: 16.0624}
VEL: {v: -14.0936, s: -4.75436, e: 4.96824, r: 1.99251, p: 6.19567}
POS: {v: 208.298, s: -5.17571, e: 87.9393, r: 0.294063, p: 16.3344}
VEL: {v: -10.5579, s: -3.70673, e: 3.84401, r: 1.72659, p: 4.79403}
POS: {v: 207.869, s: -5.31993, e: 88.0955, r: 0.360726, p: 16.5277}
VEL: {v: -9.00597, s: -3.01332, e: 3.43134, r: 1.46682, p: 4.44446}
POS: {v: 207.404, s: -5.4723, e: 88.2642, r: 0.435409, p: 16.7386}
VEL: {v: -7.86303, s: -2.71493, e: 3.08095, r: 1.38983, p: 3.68365}
POS: {v: 206.949, s: -5.62402, e: 88.4338, r: 0.511483, p: 16.9491}
VEL: {v: -6.61228, s: -2.51686, e: 2.76998, r: 1.19659, p: 3.36905}
POS: {v: 206.638, s: -5.73844, e: 88.557, r: 0.562731, p: 17.0993}
VEL: {v: -5.97876, s: -2.33576, e: 2.5543, r: 1.15206, p: 3.10473}
POS: {v: 206.264, s: -5.87544, e: 88.7046, r: 0.627105, p: 17.2787}
VEL: {v: -5.39198, s: -1.93965, e: 2.14811, r: 0.926093, p: 2.60961}
POS: {v: 206.049, s: -5.95623, e: 88.7938, r: 0.665024, p: 17.3918}
VEL: {v: -4.42237, s: -1.7488, e: 1.91334, r: 0.904745, p: 2.3471}
POS: {v: 205.844, s: -6.04246, e: 88.8885, r: 0.706091, p: 17.501}
VEL: {v: -2.78723, s: -1.22341, e: 1.34951, r: 0.587796, p: 1.64569}
POS: {v: 205.749, s: -6.0898, e: 88.9509, r: 0.733701, p: 17.5767}
VEL: {v: -1.88869, s: -1.06004, e: 1.25803, r: 0.502585, p: 1.39578}
