VEL: {v: -32.2818, s: -9.53015, e: 10.2555, r: 2.12333, p: 11.7726}
POS: {v: 198.838, s: -5.83591, e: 77.1854, r: -10.0265, p: 3.70632}
VEL: {v: -32.309, s: -9.70007, e: 9.86146, r: 2.00031, p: 11.5642}
POS: {v: 197.375, s: -6.26674, e: 77.6333, r: -9.93696, p: 4.2221}
VEL: {v: -31.5308, s: -9.53094, e: 10.1675, r: 2.22295, p: 11.706}
POS: {v: 195.286, s: -6.88424, e: 78.2561, r: -9.81259, p: 4.97702}
VEL: {v: -33.6183, s: -9.46375, e: 9.61695, r: 2.04623, p: 11.1391}
POS: {v: 194.046, s: -7.24818, e: 78.6329, r: -9.7325, p: 5.40088}
VEL: {v: -31.6821, s: -8.87312, e: 9.25847, r: 2.01737, p: 10.7518}
POS: {v: 192.679, s: -7.6329, e: 79.0363, r: -9.64667, p: 5.88253}
VEL: {v: -32.1112, s: -8.91048, e: 9.13635, r: 1.92659, p: 10.7706}
POS: {v: 191.05, s: -8.09566, e: 79.5272, r: -9.53963, p: 6.44204}
VEL: {v: -31.0698, s: -8.84884, e: 9.27952, r: 1.92806, p: 11.2322}
POS: {v: 189.231, s: -8.61376, e: 80.0532, r: -9.4272, p: 7.08526}
VEL: {v: -31.5369, s: -8.73273, e: 9.00323, r: 2.05113, p: 10.7219}
POS: {v: 188.043, s: -8.95457, e: 80.3997, r: -9.35034, p: 7.51121}
VEL: {v: -33.1626, s: -9.36887, e: 9.28984, r: 2.01356, p: 11.384}
POS: {v: 185.709, s: -9.61363, e: 81.0461, r: -9.20676, p: 8.32738}
VEL: {v: -31.3981, s: -8.08428, e: 8.28657, r: 1.97696, p: 10.1723}
POS: {v: 184.667, s: -9.89142, e: 81.3305, r: -9.13987, p: 8.6865}
VEL: {v: -30.1845, s: -8.26093, e: 8.53208, r: 1.93487, p: 10.8069}
POS: {v: 182.764, s: -10.4134, e: 81.8629, r: -9.01511, p: 9.3374}
VEL: {v: -29.8338, s: -8.39042, e: 8.10051, r: 1.93981, p: 10.2966}
POS: {v: 181.757, s: -10.6988, e: 82.1392, r: -8.94869, p: 9.68923}
VEL: {v: -30.4083, s: -8.59381, e: 8.49628, r: 1.96927, p: 10.7607}
POS: {v: 181.757, s: -10.6988, e: 82.1392, r: -8.94869, p: 9.68923}
VEL: {v: -30.4083, s: -8.59381, e: 8.49628, r: 1.96927, p: 10.7607}
POS: {v: 178.459, s: -11.6162, e: 83.027, r: -8.73239, p: 10.8653}
VEL: {v: -31.6663, s: -8.3557, e: 8.06258, r: 2.01362, p: 10.5636}
POS: {v: 175.247, s: -12.5001, e: 83.899, r: -8.51141, p: 12.0039}
VEL: {v: -29.8509, s: -8.49269, e: 8.14779, r: 2.14936, p: 10.9734}
POS: {v: 175.247, s: -12.5001, e: 83.899, r: -8.51141, p: 12.0039}
VEL: {v: -29.8509, s: -8.49269, e: 8.14779, r: 2.14936, p: 10.9734}
POS: {v: 173.453, s: -12.999, e: 84.3852, r: -8.38878, p: 12.652}
VEL: {v: -32.1664, s: -8.53498, e: 8.14794, r: 2.11822, p: 10.6088}
POS: {v: 171.962, s: -13.405, e: 84.7639, r: -8.28779, p: 13.1726}
VEL: {v: -30.2418, s: -7.59101, e: 7.37741, r: 1.94553, p: 9.68233}
POS: {v: 170.847, s: -13.7094, e: 85.064, r: -8.20653, p: 13.562}
VEL: {v: -26.5355, s: -7.50444, e: 7.33307, r: 2.04216, p: 9.76815}
POS: {v: 169.553, s: -14.0809, e: 85.4378, r: -8.10046, p: 14.0573}
VEL: {v: -23.516, s: -6.8272, e: 6.74817, r: 2.01387, p: 9.25834}
POS: {v: 167.998, s: -14.5507, e: 85.883, r: -7.97461, p: 14.6631}
VEL: {v: -23.6544, s: -7.22025, e: 6.867, r: 2.07014, p: 9.22746}
POS: {v: 167.2, s: -14.7761, e: 86.0998, r: -7.91135, p: 14.9541}
VEL: {v: -20.3895, s: -6.30574, e: 6.22785, r: 2.03863, p: 8.38931}
POS: {v: 165.273, s: -15.3533, e: 86.667, r: -7.74153, p: 15.7186}
VEL: {v: -17.1046, s: -5.52437, e: 5.42481, r: 1.59617, p: 7.30654}
POS: {v: 165.273, s: -15.3533, e: 86.667, r: -7.74153, p: 15.7186}
VEL: {v: -17.1046, s: -5.52437, e: 5.42481, r: 1.59617, p: 7.30654}
POS: {v: 164.179, s: -15.7046, e: 87.0196, r: -7.63375, p: 16.1861}
VEL: {v: -18.482, s: -5.56362, e: 5.28368, r: 1.65758, p: 7.16344}
POS: {v: 163.438, s: -15.9094, e: 87.22, r: -7.57157, p: 16.4644}
VEL: {v: -17.6734, s: -5.14211, e: 4.89298, r: 1.63775, p: 6.88194}
POS: {v: 162.643, s: -16.1513, e: 87.462, r: -7.4963, p: 16.782}
VEL: {v: -15.6605, s: -4.87096, e: 4.69024, r: 1.37919, p: 6.34309}
POS: {v: 161.674, s: -16.4645, e: 87.7645, r: -7.40091, p: 17.1805}
VEL: {v: -13.5313, s: -4.15154, e: 4.05368, r: 1.23938, p: 5.099}
POS: {v: 161.142, s: -16.6185, e: 87.9202, r: -7.34886, p: 17.3881}
VEL: {v: -11.4366, s: -3.39432, e: 3.60758, r: 1.1521, p: 4.71024}
POS: {v: 160.475, s: -16.8253, e: 88.1346, r: -7.27679, p: 17.6592}
VEL: {v: -9.04294, s: -2.93733, e: 3.19166, r: 1.0624, p: 4.05212}
POS: {v: 160.126, s: -16.9335, e: 88.2519, r: -7.23723, p: 17.8079}
VEL: {v: -7.0255, s: -2.39589, e: 2.54023, r: 0.978769, p: 3.02606}
POS: {v: 159.792, s: -17.0499, e: 88.3845, r: -7.1888, p: 17.9606}
VEL: {v: -4.9931, s: -1.95231, e: 2.17811, r: 0.730827, p: 2.55114}
POS: {v: 159.574, s: -17.1318, e: 88.4808, r: -7.14962, p: 18.0705}
VEL: {v: -3.88598, s: -1.55111, e: 1.85372, r: 0.619544, p: 2.14768}
POS: {v: 159.375, s: -17.2101, e: 88.576, r: -7.11635, p: 18.1758}
VEL: {v: -3.08364, s: -1.2172, e: 1.40432, r: 0.624744, p: 1.56252}
POS: {v: 159.272, s: -17.2533, e: 88.6275, r: -7.09489, p: 18.2348}
VEL: {v: -2.67793, s: -1.19145, e: 1.3178, r: 0.550354, p: 1.49221}
POS: {v: 159.13, s: -17.3168, e: 88.7009, r: -7.06785, p: 18.3166}
VEL: {v: -2.31951, s: -1.11709, e: 1.20683, r: 0.510037, p: 1.41299}
POS: {v: 159.017, s: -17.3699, e: 88.7592, r: -7.04359, p: 18.3845}
VEL: {v: -2.13487, s: -1.07848, e: 1.14999, r: 0.397198, p: 1.33281}
POS: {v: 158.894, s: -17.4317, e: 88.8235, r: -7.02195, p: 18.4606}
VEL: {v: -1.90365, s: -1.0055, e: 1.09109, r: 0.456648, p: 1.2671}
MTN: Move Mode -TRAJECTORY_MODE
POS: {v: 158.798, s: -17.4805, e: 88.8738, r: -6.99842, p: 18.5208}
VEL: {v: 0, s: 0.0996706, e: -0.233912, r: 0.654093, p: 3.44911}
POS: {v: 158.687, s: -17.4756, e: 88.8679, r: -6.96334, p: 18.6779}
VEL: {v: -10.7937, s: 0.0943739, e: -0.104818, r: 0.84178, p: 2.70139}
POS: {v: 158.283, s: -17.4737, e: 88.8657, r: -6.93855, p: 18.7666}
VEL: {v: -10.3116, s: 6.89683e-06, e: 0.00414178, r: 0.5191, p: 1.86974}
POS: {v: 157.803, s: -17.4772, e: 88.8685, r: -6.90746, p: 18.856}
VEL: {v: -5.77273, s: -0.126842, e: 0.124367, r: 0.339872, p: 0.845071}
POS: {v: 157.574, s: -17.4823, e: 88.8735, r: -6.89153, p: 18.8996}
VEL: {v: -3.98341, s: -0.138332, e: 0.129774, r: 0.34368, p: 0.661484}
POS: {v: 157.379, s: -17.4979, e: 88.8899, r: -6.8739, p: 18.8938}
VEL: {v: 1.54252, s: -0.146656, e: 0.168143, r: -0.0290016, p: -1.04602}
POS: {v: 157.379, s: -17.4979, e: 88.8899, r: -6.8739, p: 18.8938}
VEL: {v: 1.54252, s: -0.146656, e: 0.168143, r: -0.0290016, p: -1.04602}
POS: {v: 157.513, s: -17.5056, e: 88.8991, r: -6.87694, p: 18.8484}
VEL: {v: 2.16557, s: -0.13658, e: 0.151092, r: -0.137813, p: -0.556587}
POS: {v: 157.572, s: -17.5099, e: 88.9042, r: -6.88139, p: 18.8315}
VEL: {v: 0.461747, s: -0.115283, e: 0.143567, r: -0.143214, p: -0.388877}
POS: {v: 157.604, s: -17.5171, e: 88.9126, r: -6.88675, p: 18.8128}
VEL: {v: -0.166189, s: -0.0889047, e: 0.101544, r: -0.0569413, p: 0.0028087}
POS: {v: 157.596, s: -17.5216, e: 88.9186, r: -6.88972, p: 18.8125}
VEL: {v: -2.00473, s: -0.198491, e: 0.270803, r: -0.113773, p: -0.00162487}
POS: {v: 157.342, s: -17.5256, e: 88.9255, r: -6.89543, p: 18.8135}
VEL: {v: -7.14224, s: 0.134267, e: -0.0838847, r: -0.045901, p: -0.00176414}
POS: {v: 156.988, s: -17.5186, e: 88.9196, r: -6.89741, p: 18.8146}
VEL: {v: -7.83614, s: 0.19701, e: -0.263969, r: 0.00128164, p: -0.00239088}
POS: {v: 156.716, s: -17.5099, e: 88.9104, r: -6.898, p: 18.8151}
VEL: {v: -8.67522, s: 0.367493, e: -0.521196, r: -0.0583511, p: -1.2781}
POS: {v: 156.293, s: -17.4831, e: 88.88, r: -6.9122, p: 18.7385}
VEL: {v: -5.44128, s: 0.424725, e: -0.494309, r: -0.251842, p: -1.23304}
POS: {v: 156.058, s: -17.4647, e: 88.8585, r: -6.92185, p: 18.6932}
