MTN: Move Mode -GRAVITY_ZONE
POS: {v: 206.288, s: -4.09519, e: 76.2438, r: -10.0836, p: 1.66521}
VEL: {v: 29.4029, s: 10.436, e: -10.8726, r: -2.09152, p: -11.3101}
POS: {v: 207.574, s: -3.64725, e: 75.7708, r: -10.1635, p: 1.18529}
VEL: {v: 27.0044, s: 9.37861, e: -10.0199, r: -1.79812, p: -10.0476}
POS: {v: 208.903, s: -3.17294, e: 75.2408, r: -10.2532, p: 0.669863}
VEL: {v: 27.9517, s: 9.88589, e: -10.7788, r: -1.78391, p: -10.7077}
POS: {v: 210.412, s: -2.62865, e: 74.6602, r: -10.3505, p: 0.0910622}
VEL: {v: 26.3176, s: 9.42706, e: -10.5153, r: -1.86174, p: -9.88651}
POS: {v: 211.582, s: -2.19409, e: 74.1812, r: -10.4294, p: -0.359537}
VEL: {v: 26.1657, s: 9.50864, e: -10.6939, r: -1.65397, p: -9.91012}
POS: {v: 213.095, s: -1.62211, e: 73.5474, r: -10.5358, p: -0.964173}
VEL: {v: 24.2877, s: 9.08771, e: -10.1703, r: -1.5998, p: -9.00251}
POS: {v: 213.875, s: -1.33832, e: 73.2239, r: -10.5903, p: -1.25133}
VEL: {v: 24.4941, s: 9.13059, e: -10.2932, r: -1.69464, p: -9.56534}
POS: {v: 216.617, s: -0.271445, e: 71.9941, r: -10.7928, p: -2.36149}
VEL: {v: 21.0426, s: 7.99256, e: -9.37608, r: -1.81145, p: -7.99363}
POS: {v: 216.617, s: -0.271445, e: 71.9941, r: -10.7928, p: -2.36149}
VEL: {v: 21.0426, s: 7.99256, e: -9.37608, r: -1.81145, p: -7.99363}
POS: {v: 217.443, s: 0.0603449, e: 71.6154, r: -10.8568, p: -2.68981}
VEL: {v: 19.9527, s: 8.16452, e: -9.63733, r: -1.49704, p: -8.05914}
POS: {v: 218.419, s: 0.491346, e: 71.107, r: -10.9415, p: -3.12892}
VEL: {v: 16.9847, s: 6.70556, e: -8.11728, r: -1.36791, p: -6.20361}
POS: {v: 219.335, s: 0.806002, e: 70.7157, r: -11.009, p: -3.43492}
VEL: {v: 13.6231, s: 4.74484, e: -6.22856, r: -1.11557, p: -4.51087}
POS: {v: 219.712, s: 0.948141, e: 70.494, r: -11.0475, p: -3.59042}
VEL: {v: 8.49376, s: 3.41602, e: -5.2638, r: -0.962803, p: -3.65003}
POS: {v: 220.129, s: 1.11554, e: 70.2558, r: -11.0921, p: -3.75347}
VEL: {v: 6.04814, s: 2.48259, e: -4.03779, r: -0.801628, p: -2.55455}
POS: {v: 220.463, s: 1.25731, e: 70.0309, r: -11.1362, p: -3.90038}
VEL: {v: 5.69382, s: 2.36944, e: -3.79516, r: -0.799522, p: -2.40773}
POS: {v: 220.752, s: 1.38178, e: 69.8583, r: -11.1704, p: -4.02679}
VEL: {v: 6.65778, s: 3.15023, e: -3.99571, r: -0.642851, p: -2.90396}
POS: {v: 221.103, s: 1.53779, e: 69.6376, r: -11.2125, p: -4.20688}
VEL: {v: 6.95628, s: 3.15013, e: -3.94157, r: -0.663522, p: -2.93994}
POS: {v: 221.442, s: 1.69791, e: 69.4681, r: -11.2375, p: -4.32751}
VEL: {v: 6.83575, s: 3.11236, e: -3.89121, r: -0.700983, p: -3.02599}
POS: {v: 221.791, s: 1.85531, e: 69.2619, r: -11.2737, p: -4.48728}
VEL: {v: 5.70049, s: 2.54825, e: -3.22066, r: -0.648472, p: -2.34489}
POS: {v: 222.015, s: 1.96103, e: 69.1385, r: -11.2956, p: -4.57598}
VEL: {v: 5.19549, s: 2.17909, e: -3.06625, r: -0.547571, p: -2.05007}
POS: {v: 222.318, s: 2.10536, e: 68.9421, r: -11.3293, p: -4.71602}
VEL: {v: 4.14084, s: 1.96142, e: -2.74205, r: -0.522359, p: -1.79532}
POS: {v: 222.468, s: 2.18066, e: 68.8371, r: -11.3486, p: -4.78568}
VEL: {v: 3.05302, s: 1.52441, e: -2.30607, r: -0.397692, p: -1.56389}
POS: {v: 222.615, s: 2.25295, e: 68.7329, r: -11.369, p: -4.86288}
VEL: {v: 2.83311, s: 1.38279, e: -1.99745, r: -0.307557, p: -1.32185}
POS: {v: 222.733, s: 2.31504, e: 68.6421, r: -11.3825, p: -4.91434}
VEL: {v: 2.22967, s: 1.32899, e: -1.70495, r: -0.340147, p: -1.16213}
POS: {v: 222.826, s: 2.36694, e: 68.5687, r: -11.3967, p: -4.96309}
VEL: {v: 2.09147, s: 1.1496, e: -1.63341, r: -0.367336, p: -1.08304}
POS: {v: 222.948, s: 2.43436, e: 68.4726, r: -11.414, p: -5.02692}
VEL: {v: 1.82831, s: 1.06736, e: -1.52401, r: -0.272092, p: -0.922995}
POS: {v: 223.021, s: 2.47644, e: 68.4156, r: -11.4243, p: -5.06525}
VEL: {v: 1.62933, s: 0.968321, e: -1.35743, r: -0.228077, p: -0.87455}
POS: {v: 223.111, s: 2.53039, e: 68.34, r: -11.4382, p: -5.11478}
VEL: {v: 1.34579, s: 0.883525, e: -1.20916, r: -0.239117, p: -0.759556}
MTN: Move Mode -TRAJECTORY_MODE
POS: {v: 223.167, s: 2.56749, e: 68.2887, r: -11.4479, p: -5.14809}
VEL: {v: 0.345477, s: 0.204038, e: 0.0160209, r: -0.0398223, p: -0.0282495}
POS: {v: 223.251, s: 2.60175, e: 68.2553, r: -11.4646, p: -5.25564}
VEL: {v: 8.81443, s: 0.396161, e: -0.237857, r: -0.485173, p: -2.89194}
POS: {v: 223.526, s: 2.61384, e: 68.2477, r: -11.478, p: -5.33511}
